订单日期,客户名称,产品名称,销售数量,单价,地区,销售额
2024-07-24,京东,iPhone 15,39,12999,西南,506961
2024-07-15,京东,AirPods Pro,32,5999,华南,191968
2024-07-08,百度,Apple Watch,18,12999,东北,233982
2024-07-03,阿里巴巴,AirPods Pro,18,5999,华南,107982
2024-07-11,字节跳动,AirPods Pro,21,2999,西南,62979
2024-07-17,华为,iPad Air,17,1999,华东,33983
2024-07-10,美团,AirPods Pro,8,4999,华北,39992
2024-07-20,华为,AirPods Pro,22,4999,东北,109978
2024-07-19,腾讯,Apple Watch,11,12999,华北,142989
2024-07-16,京东,iPad Air,30,1999,华南,59970
2024-07-15,美团,iPad Air,6,4999,西南,29994
2024-07-09,字节跳动,AirPods Pro,15,2999,华南,44985
2024-07-17,百度,iPhone 15,30,12999,西南,389970
2024-07-14,百度,AirPods Pro,41,1999,华东,81959
2024-07-17,字节跳动,MacBook Pro,33,2999,华南,98967
2024-07-18,华为,Apple Watch,44,12999,华东,571956
2024-07-25,百度,iPad Air,25,2999,华东,74975
2024-07-07,腾讯,iPad Air,34,2999,华南,101966
2024-07-05,京东,MacBook Pro,18,5999,西南,107982
2024-07-01,华为,iPhone 15,37,2999,华北,110963
2024-07-10,小米,AirPods Pro,6,2999,西南,17994
2024-07-24,腾讯,MacBook Pro,43,12999,东北,558957
2024-07-26,百度,AirPods Pro,31,5999,华北,185969
2024-07-16,美团,iPad Air,13,5999,华南,77987
2024-07-19,美团,Apple Watch,23,5999,华北,137977
2024-07-06,腾讯,MacBook Pro,45,4999,西南,224955
2024-07-08,京东,MacBook Pro,2,2999,华东,5998
2024-07-03,字节跳动,MacBook Pro,8,4999,华北,39992
2024-07-01,京东,AirPods Pro,19,12999,东北,246981
2024-07-04,京东,iPad Air,40,4999,东北,199960
2024-07-08,华为,iPhone 15,37,1999,华南,73963
2024-07-26,百度,Apple Watch,45,1999,华东,89955
2024-07-15,京东,AirPods Pro,39,12999,华东,506961
2024-07-07,阿里巴巴,AirPods Pro,37,1999,东北,73963
2024-07-20,腾讯,AirPods Pro,43,1999,华南,85957
2024-07-27,百度,AirPods Pro,4,4999,西南,19996
2024-07-06,华为,MacBook Pro,35,5999,西南,209965
2024-07-20,字节跳动,iPad Air,22,12999,东北,285978
2024-07-24,腾讯,AirPods Pro,13,4999,华东,64987
2024-07-05,京东,iPhone 15,26,1999,西南,51974
2024-07-24,字节跳动,MacBook Pro,20,12999,华南,259980
2024-07-20,小米,Apple Watch,43,1999,华南,85957
2024-07-25,美团,Apple Watch,40,12999,华北,519960
2024-07-16,腾讯,iPhone 15,11,2999,东北,32989
2024-07-21,华为,Apple Watch,46,12999,西南,597954
2024-07-21,腾讯,AirPods Pro,46,12999,华东,597954
2024-07-19,京东,Apple Watch,38,1999,华北,75962
2024-07-02,腾讯,AirPods Pro,12,5999,华南,71988
2024-07-11,字节跳动,Apple Watch,41,12999,西南,532959
2024-07-15,腾讯,iPad Air,43,1999,东北,85957
2024-07-12,小米,iPad Air,28,5999,华东,167972
2024-07-17,华为,iPhone 15,7,12999,西南,90993
2024-07-16,华为,iPad Air,50,1999,华北,99950
2024-07-17,小米,Apple Watch,17,12999,华北,220983
2024-07-18,字节跳动,Apple Watch,13,4999,华北,64987
2024-07-23,阿里巴巴,iPad Air,28,1999,华北,55972
2024-07-08,京东,iPad Air,25,4999,华东,124975
2024-07-21,字节跳动,MacBook Pro,34,2999,华东,101966
2024-07-03,百度,MacBook Pro,49,1999,华南,97951
2024-07-07,腾讯,AirPods Pro,45,1999,东北,89955
2024-07-04,阿里巴巴,iPhone 15,14,12999,西南,181986
2024-07-01,华为,MacBook Pro,38,1999,东北,75962
2024-07-05,百度,Apple Watch,36,4999,东北,179964
2024-07-11,腾讯,iPhone 15,29,5999,华南,173971
2024-07-05,腾讯,iPhone 15,2,4999,西南,9998
2024-07-18,阿里巴巴,MacBook Pro,37,2999,华北,110963
2024-07-19,阿里巴巴,MacBook Pro,5,5999,西南,29995
2024-07-14,字节跳动,iPad Air,1,4999,华北,4999
2024-07-05,京东,AirPods Pro,16,4999,西南,79984
2024-07-02,小米,MacBook Pro,13,2999,华东,38987
2024-07-02,字节跳动,iPhone 15,21,2999,东北,62979
2024-07-18,美团,MacBook Pro,40,2999,华北,119960
2024-07-08,阿里巴巴,Apple Watch,21,5999,东北,125979
2024-07-19,华为,AirPods Pro,45,12999,西南,584955
2024-07-01,小米,MacBook Pro,43,4999,华东,214957
2024-07-24,美团,Apple Watch,18,12999,东北,233982
2024-07-09,字节跳动,iPhone 15,26,4999,东北,129974
2024-07-25,阿里巴巴,Apple Watch,46,1999,东北,91954
2024-07-07,阿里巴巴,Apple Watch,49,4999,华东,244951
2024-07-24,京东,AirPods Pro,36,2999,华东,107964
2024-07-10,小米,iPad Air,50,1999,华南,99950
2024-07-05,京东,AirPods Pro,23,2999,东北,68977
2024-07-14,小米,iPad Air,13,2999,华东,38987
2024-07-23,阿里巴巴,iPhone 15,22,2999,华北,65978
2024-07-09,华为,Apple Watch,10,12999,华东,129990
2024-07-12,腾讯,iPad Air,42,12999,华南,545958
2024-07-14,阿里巴巴,MacBook Pro,39,12999,西南,506961
2024-07-13,小米,iPad Air,48,4999,东北,239952
2024-07-22,美团,Apple Watch,26,4999,华东,129974
2024-07-20,小米,iPad Air,9,5999,华东,53991
2024-07-21,阿里巴巴,iPad Air,44,1999,华东,87956
2024-07-24,阿里巴巴,MacBook Pro,8,4999,华南,39992
2024-07-23,小米,iPhone 15,18,1999,华东,35982
2024-07-06,腾讯,iPad Air,33,1999,华东,65967
2024-07-10,京东,MacBook Pro,32,1999,东北,63968
2024-07-18,京东,MacBook Pro,31,4999,东北,154969
2024-07-27,百度,iPad Air,24,2999,东北,71976
2024-07-27,字节跳动,Apple Watch,2,1999,华北,3998
2024-07-16,百度,iPhone 15,39,12999,华南,506961
2024-07-16,阿里巴巴,iPhone 15,49,4999,华北,244951
